,charge,0
668,568.5,0.0
669,569.5,0.0
670,570.5,0.0
671,571.5,0.0
672,572.5,0.0
673,573.5,0.0
674,574.5,0.0
675,575.5,0.0
676,576.5,0.0
677,577.5,0.0
678,578.5,0.0
679,579.5,0.0
680,580.5,0.0
681,581.5,0.0
682,582.5,0.0
683,583.5,0.0
684,584.5,0.0
685,585.5,0.0
686,586.5,0.0
687,587.5,0.0
688,588.5,0.0
689,589.5,0.0
690,590.5,0.0
691,591.5,0.0
692,592.5,0.0
693,593.5,0.0
694,594.5,0.0
695,595.5,0.0
696,596.5,0.0
697,597.5,0.0
698,598.5,0.0
699,599.5,0.0
700,600.5,0.0
701,601.5,0.0
702,602.5,0.0
703,603.5,0.0
704,604.5,0.0
705,605.5,0.0
706,606.5,0.0
707,607.5,0.0
708,608.5,0.0
709,609.5,0.0
710,610.5,0.0
711,611.5,0.0
712,612.5,0.0
713,613.5,0.0
714,614.5,0.0
715,615.5,0.0
716,616.5,0.0
717,617.5,0.0
718,618.5,0.0
719,619.5,0.0
720,620.5,0.0
721,621.5,0.0
722,622.5,0.0
723,623.5,0.0
724,624.5,0.0
725,625.5,0.0
726,626.5,0.0
727,627.5,0.0
728,628.5,0.0
729,629.5,0.0
730,630.5,0.0
731,631.5,0.0
732,632.5,0.0
733,633.5,0.0
734,634.5,0.0
735,635.5,0.0
736,636.5,0.0
737,637.5,0.0
738,638.5,0.0
739,639.5,0.0
740,640.5,0.0
741,641.5,0.0
742,642.5,0.0
743,643.5,0.0
744,644.5,0.0
745,645.5,0.0
746,646.5,0.0
747,647.5,0.0
748,648.5,0.0
749,649.5,0.0
750,650.5,0.0
751,651.5,0.0
752,652.5,0.0
753,653.5,0.0
754,654.5,0.0
755,655.5,0.0
756,656.5,0.0
757,657.5,0.0
758,658.5,0.0
759,659.5,0.0
760,660.5,0.0
761,661.5,0.0
762,662.5,0.0
763,663.5,0.0
764,664.5,0.0
765,665.5,0.0
766,666.5,0.0
767,667.5,0.0
768,668.5,0.0
769,669.5,0.0
770,670.5,0.0
771,671.5,0.0
772,672.5,0.0
773,673.5,0.0
774,674.5,0.0
775,675.5,0.0
776,676.5,0.0
777,677.5,0.0
778,678.5,0.0
779,679.5,0.0
780,680.5,0.0
781,681.5,0.0
782,682.5,0.0
783,683.5,0.0
784,684.5,0.0
785,685.5,0.0
786,686.5,0.0
787,687.5,0.0
788,688.5,0.0
789,689.5,0.0
790,690.5,0.0
791,691.5,0.0
792,692.5,0.0
793,693.5,0.0
794,694.5,0.0
795,695.5,0.0
796,696.5,0.0
797,697.5,0.0
798,698.5,0.0
799,699.5,0.0
800,700.5,0.0
801,701.5,0.0
802,702.5,0.0
803,703.5,0.0
804,704.5,0.0
805,705.5,0.0
806,706.5,0.0
807,707.5,0.0
808,708.5,0.0
809,709.5,0.0
810,710.5,0.0
811,711.5,0.0
812,712.5,0.0
813,713.5,0.0
814,714.5,0.0
815,715.5,0.0
816,716.5,0.0
817,717.5,0.0
818,718.5,0.0
819,719.5,0.0
820,720.5,0.0
821,721.5,0.0
822,722.5,0.0
823,723.5,0.0
824,724.5,0.0
825,725.5,0.0
826,726.5,0.0
827,727.5,0.0
828,728.5,0.0
829,729.5,0.0
830,730.5,0.0
831,731.5,0.0
832,732.5,0.0
833,733.5,0.0
834,734.5,0.0
835,735.5,0.0
836,736.5,0.0
837,737.5,0.0
838,738.5,0.0
839,739.5,0.0
840,740.5,0.0
841,741.5,0.0
842,742.5,0.0
843,743.5,0.0
844,744.5,0.0
845,745.5,0.0
846,746.5,0.0
847,747.5,0.0
848,748.5,0.0
849,749.5,0.0
850,750.5,0.0
851,751.5,0.0
852,752.5,0.0
853,753.5,0.0
854,754.5,0.0
855,755.5,0.0
856,756.5,0.0
857,757.5,0.0
858,758.5,0.0
859,759.5,0.0
860,760.5,0.0
861,761.5,0.0
862,762.5,0.0
863,763.5,0.0
864,764.5,0.0
865,765.5,0.0
866,766.5,0.0
867,767.5,0.0
868,768.5,0.0
869,769.5,0.0
870,770.5,0.0
871,771.5,0.0
872,772.5,0.0
873,773.5,0.0
